date,cost,fuel,miles,octane,ethanol,notes
9/17/2017,21.7,8.685,161.8,87,10,Caseys
9/25/2017,39.17,16.194,306,87,10,Sams
10/10/2017,39.26,16.231,304.4,87,10,Sams
10/25/2017,28.11,11.918,224.5,87,10,Sams
11/1/2017,27.37,9.991,177.4,87,10,Sams
11/12/2017,39.5,15.806,274.6,87,10,BP
11/18/2017,40.05,16.027,302,87,10,BP
11/26/2017,28.38,11.831,223.5,87,10,Kum & Go
12/1/2017,28.68,11.523,185.7,87,10,Philips
12/1/2017,32.39,13.171,298.8,87,0,Cenex
12/3/2017,34.36,14.029,297,87,0,Holiday
12/4/2017,18.6,8.574,152.6,87,10,Sams
12/17/2017,36.64,13.676,205.4,87,0,Caseys
12/17/2017,19.5,7.2,130.2,87,0,Kum & Go
12/17/2017,26.47,11.514,204.8,87,10,Cenex
12/17/2017,41.19,14.939,273.2,87,10,Shell
12/22/2017,42.23,16.633,305.4,87,0,Conoco
12/26/2017,30.67,11.578,202,89,0,Reata
12/26/2017,33.41,13.926,238.3,87,10,Shell
12/26/2017,38.98,16.515,275.8,87,10,Kum & Go
1/15/2017,37.22,15.847,237.6,87,10,Sams
